Price,Close,High,Low,Open,Volume,return,lag1,lag2,lag3,lag5,lag10,sma10,sma20,sma50,price_to_sma10,price_to_sma20,sma10_sma20_r,volatility_10,volatility_20,vol_ratio,rsi_14,volume_ma20,volume_ratio,vol_confirmed_move,target
2015-03-16,172.73361206054688,172.8247080553119,170.48106804128992,171.18499278596744,136099200.0,0.013360100202094216,-0.006132233684313593,0.01271421501189729,-0.002341865852156788,0.004144683517237624,0.006313741690068708,172.14235229492186,173.44584045410156,170.59720794677733,1.0034347141057538,0.9958936553814725,0.9924847539971728,0.009845037806063533,0.007241993147515259,1.3594376030915443,41.39589992068416,105880195.0,1.2854075306529233,-0.007882419357540214,0
2015-03-17,172.22024536132812,172.60118322774522,171.40865790665734,171.99664370451623,94510400.0,-0.002972013918395966,0.013360100202094216,-0.006132233684313593,0.01271421501189729,-0.016221844211860792,-0.004104006286470563,171.88066558837892,173.35681915283203,170.6391131591797,1.0019756717358916,0.9934437318528445,0.9914848831925571,0.009819223823725555,0.007252692159168812,1.3538729630640878,40.44786584166915,106757305.0,0.885282744820132,0.011827466177981968,1
2015-03-18,174.29055786132812,174.96135003965182,171.11048686432775,171.74815896316636,228808500.0,0.01202130734198148,-0.002972013918395966,0.013360100202094216,-0.006132233684313593,-0.002341865852156788,-0.0042156111929307905,171.89971466064452,173.3704833984375,170.78387268066408,1.0139083604961385,1.0053069844696465,0.9915166139647146,0.01062312259909369,0.007774745347129858,1.3663627713562791,47.85652957843221,114165085.0,2.0041898098705047,-0.005956480010042504,0
2015-03-19,173.4955596923828,174.29885756678942,173.10633236616806,173.87651015674865,117917300.0,-0.004561338139601578,0.01202130734198148,-0.002972013918395966,0.013360100202094216,0.01271421501189729,0.0010941450269776887,171.82021484375,173.3506088256836,170.94420166015624,1.0097505689313468,1.0008361716620504,0.9911716838360082,0.01071799483580368,0.007843426889030785,1.3664938791987777,47.327382862848786,115487825.0,1.0210366330823184,0.012274195173704525,1
2015-03-20,175.02700805664062,175.53442966152787,174.26171874469958,174.44472409025488,177715100.0,0.008827017630728795,-0.004561338139601578,0.01202130734198148,-0.002972013918395966,-0.006132233684313593,-0.014064585557417186,172.1389923095703,173.35513458251953,171.09391662597656,1.0167772316331245,1.0096442108746728,0.9929846769414822,0.009889042256797874,0.007983074559822733,1.2387510830185036,48.55821497784644,117328760.0,1.5146763674993242,-0.006908951084227844,0
2015-03-23,174.6859130859375,175.60925341996233,174.6859130859375,175.0352833889691,71784500.0,-0.001948813354523793,0.008827017630728795,-0.004561338139601578,0.01202130734198148,0.013360100202094216,0.004144683517237624,172.3524383544922,173.34384765625,171.17734954833983,1.0135389713874883,1.007742215531923,0.9942806778829334,0.009921932524818985,0.007995648424860566,1.2409165583080288,49.58049578463672,117197430.0,0.6125091650900536,0.005406629199232877,0
2015-03-24,173.704345703125,175.0186380320636,173.6377971673957,174.56113747478216,77805300.0,-0.0056190414296865,-0.001948813354523793,0.008827017630728795,-0.004561338139601578,-0.002972013918395966,-0.016221844211860792,172.7476379394531,173.25863952636718,171.26848083496094,1.0055381814482882,1.0025724903414701,0.9970506429675832,0.0082741942186452,0.008059075232484614,1.0266927631216893,48.916764545194816,117464080.0,0.6623752554823569,-0.0012908457435901262,0
2015-03-25,171.15890502929688,174.14521174748526,171.1173233023442,173.9122982280771,159521700.0,-0.014653868695826966,-0.0056190414296865,-0.001948813354523793,0.008827017630728795,0.01202130734198148,-0.002341865852156788,172.92804718017578,173.05361099243163,171.3352035522461,0.9897694897980568,0.9890513352927515,0.9992744224663342,0.009819165434330968,0.008662956100339349,1.133465911704935,42.40651888861593,121787080.0,1.309840912517157,-0.007360050353732276,0
2015-03-26,170.75132751464844,171.6663413650974,169.79470654797132,170.49345985958703,153067200.0,-0.002381281386315659,-0.014653868695826966,-0.0056190414296865,-0.001948813354523793,-0.004561338139601578,0.01271421501189729,172.85237731933594,172.83855590820312,171.40321502685546,0.9878448313105586,0.987923826471547,1.0000799671754963,0.008958501144022987,0.008667357716172342,1.0335907940325808,47.071888370595424,125805545.0,1.216696768016068,-0.017829314681144504,1
2015-03-27,171.14230346679688,171.31698228652505,170.44355010937383,170.63488193095372,118939000.0,0.0022897388725420242,-0.002381281386315659,-0.014653868695826966,-0.0056190414296865,0.008827017630728795,-0.006132233684313593,172.9209777832031,172.6728645324707,171.49925354003906,0.9897139471496846,0.991136064894632,1.0014368977511563,0.008753902349300244,0.008684864693000357,1.0079491919264474,46.140517751528755,126348695.0,0.9413551916780779,-0.002241631595854616,1
2015-03-30,173.2301788330078,173.52964087435808,172.15711392232274,172.17374153535073,96180400.0,0.012199645113553093,0.0022897388725420242,-0.002381281386315659,-0.014653868695826966,-0.001948813354523793,0.013360100202094216,172.97063446044922,172.55649337768554,171.6675247192383,1.0015005111900537,1.0039041443305627,1.002400031865838,0.008569286183220294,0.00903562202012712,0.9483891827404854,59.91147971852324,126783145.0,0.7586213451322729,0.0017370447834894843,0
2015-03-31,171.71620178222656,173.10538151826552,171.65797975995795,172.40662840121527,126768700.0,-0.008739684164620676,0.012199645113553093,0.0022897388725420242,-0.002381281386315659,-0.0056190414296865,-0.002972013918395966,172.92023010253905,172.40044784545898,171.76228759765624,0.993037088144062,0.9960310656278237,1.0030149704573041,0.008998823814156053,0.009187653459418431,0.9794474567313153,56.32710800026166,127605290.0,0.9934439238373268,0.012119663311031054,0
2015-04-01,171.1090545654297,171.70797887261608,170.11916542736222,171.68302475088657,137303600.0,-0.0035357596458304164,-0.008739684164620676,0.012199645113553093,0.0022897388725420242,-0.014653868695826966,0.01202130734198148,172.60207977294922,172.2508972167969,171.83778625488281,0.9913499002475314,0.9933710496153174,1.0020387850619457,0.00792052275360849,0.009175835224734842,0.8631936559036643,48.83442682436474,128745610.0,1.066472091747439,-0.009320629252254981,1
2015-04-02,171.7245635986328,172.17375033720432,170.85944534924582,171.04245064458402,86900900.0,0.0035971739471434283,-0.0035357596458304164,-0.008739684164620676,0.012199645113553093,-0.002381281386315659,-0.004561338139601578,172.42498016357422,172.12259750366212,171.90869964599608,0.9959378474958968,0.9976874976859396,1.0017567865248238,0.008025389021307039,0.009220365651756886,0.8703981300110206,53.8020710873895,129247005.0,0.6723629688749848,-0.0023773138526989035,1
2015-04-06,172.88084411621094,173.39657946848428,170.70143323496615,170.83451763072776,114368200.0,0.006733343753201559,0.0035971739471434283,-0.0035357596458304164,-0.008739684164620676,0.0022897388725420242,0.008827017630728795,172.21036376953126,172.17467803955077,171.95271911621094,1.0038933797711327,1.004101451413767,1.000207264682512,0.007763679771853847,0.00879695174537913,0.8825420437178093,50.473184572878466,125559015.0,0.9108720707947574,0.003276565282243486,0
2015-04-07,172.4232940673828,173.6544101425023,172.39002614874036,172.9057613911213,81236300.0,-0.002646620862867599,0.006733343753201559,0.0035971739471434283,-0.0035357596458304164,0.012199645113553093,-0.001948813354523793,171.98410186767578,172.16827011108398,172.00630310058594,1.0025536790606666,1.0014812482935112,0.9989303009010349,0.0077742283535783985,0.00877336010111416,0.8861175494883793,50.65492168205662,125129885.0,0.6492158128332013,0.0043713932378201086,1
2015-04-08,173.00558471679688,173.44645764013111,172.25693593565734,172.64790063262691,89351900.0,0.003377099669529038,-0.002646620862867599,0.006733343753201559,0.0035971739471434283,-0.008739684164620676,-0.0056190414296865,171.91422576904296,172.33093185424804,172.0635842895508,1.006348275966528,1.0039148680697638,0.9975819425989205,0.00773618734376407,0.007919127135086081,0.9768989955330447,45.41530742461923,121741415.0,0.7339482623887689,-0.0019424827835035385,1
