Price,Close,High,Low,Open,Volume
Ticker,SPY,SPY,SPY,SPY,SPY
Date,,,,,
2015-01-02,170.12498474121094,171.32579919572484,169.08980858140774,170.91172873180355,121465900
2015-01-05,167.05258178710938,169.24715009688967,166.7461737006491,169.0815244457335,169632600
2015-01-06,165.47911071777344,167.88071412827958,164.68408994172034,167.35898134910641,209151400
2015-01-07,167.541259765625,167.88080072201512,166.35702380473722,166.804214534387,125346700
2015-01-08,170.51426696777344,170.72959176575426,168.9325268892728,168.94908061493913,147217800
2015-01-09,169.1477813720703,170.9448456357597,168.53495254772835,170.92827927931057,158567300
2015-01-12,167.82276916503906,169.43765422966325,167.21822977118725,169.28030541730055,144396100
2015-01-13,167.3507537841797,170.16642844907784,166.0505662011731,169.04015605583254,214553300
2015-01-14,166.3403778076172,166.5391361681046,164.44394075078782,165.33832178191363,192991100
2015-01-15,164.81661987304688,167.29275329332586,164.70068064236253,166.9780683165703,176613900
2015-01-16,166.97805786132812,167.1354066580678,164.42738230955322,164.60957432299625,211879600
2015-01-20,167.33412170410156,167.8806976441935,165.76893615669306,167.61568653272155,130991100
2015-01-21,168.17889404296875,168.65921739145298,166.40667261614846,166.87042960463523,122942700
2015-01-22,170.67987060546875,170.8123635660142,167.55777539756028,168.9324925342067,174356000
2015-01-23,169.7440948486328,170.67989840459322,169.61158923007656,170.42316402997878,117516800
2015-01-26,170.1415252685547,170.23262126224506,168.81650756701595,169.52870916229736,92009700
2015-01-27,167.89730834960938,169.04013431955212,167.0691673621353,168.0877772385284,134044600
2015-01-28,165.744140625,169.18092074926022,165.55367173160218,169.08154787208377,168514300
2015-01-29,167.27618408203125,167.53290573788595,164.53502710249373,165.94287673441366,173585400
2015-01-30,165.1727294921875,167.42527415360559,164.9077309277775,166.10025605869643,197729700
2015-02-02,167.21824645996094,167.30934248481887,163.85599567481714,165.66962667380608,163107000
2015-02-03,169.6364288330078,169.6447183317602,167.73999117407354,168.1126521614309,124212900
2015-02-04,168.99041748046875,170.08356945276037,168.5349374920139,168.8744782685372,134306700
2015-02-05,170.69642639160156,170.84549834910774,169.57844357423738,169.65297323477577,97953200
2015-02-06,170.2244110107422,171.62397153579192,169.70267805759966,171.06082899905493,125672000
2015-02-09,169.46250915527344,170.29892707677755,169.05671548674957,169.57844839821885,87219000
2015-02-10,171.26783752441406,171.5245592115905,169.5038931575931,170.4976724628847,96164200
2015-02-11,171.36721801757812,171.79785489325087,170.45627046247458,171.10221945776905,91087800
2015-02-12,173.0152130126953,173.07318894711187,171.40034061976428,172.16222880934126,97545900
2015-02-13,173.72744750976562,173.7771339563857,172.88274000793118,173.1394743761866,93670400
2015-02-17,174.00067138671875,174.17458652213574,173.1642536922928,173.412685833708,76968200
2015-02-18,174.01727294921875,174.09180260672233,173.3630344806547,173.62804566701706,80652900
2015-02-19,173.89305114746094,174.2574352250173,173.2802348683247,173.42101732802976,91462500
2015-02-20,174.93649291992188,175.01102257016245,172.85785111829873,173.47895680982546,140896400
2015-02-23,174.91165161132812,174.91165161132812,174.307099633419,174.68805002173943,74411100
2015-02-24,175.40850830078125,175.60726665036412,174.5389578964423,174.83708910260347,72472300
2015-02-25,175.2594757080078,175.76464219992837,174.91993488108469,175.28431892593602,73061700
2015-02-26,175.05242919921875,175.3257172152652,174.4478772380732,175.16836842089657,72697900
2015-02-27,174.4561309814453,175.2180189443908,174.40644455897004,174.95300784262287,108076000
2015-03-02,175.55760192871094,175.6155652234063,174.50585939965265,174.55554583408522,87491400
2015-03-03,174.8371124267578,175.60729007726405,173.97585140318802,175.1269668123476,110325800
2015-03-04,174.10006713867188,174.3153918714502,173.1311437504533,174.2408495827965,114497200
2015-03-05,174.29055786132812,174.57212276445165,173.78539135328714,174.4230508156971,76873000
2015-03-06,171.8392333984375,173.85989917685467,171.50798209946916,173.4292623790542,188128000
2015-03-09,172.55145263671875,172.90754718755318,171.88066047431653,172.03800928010043,89818900
2015-03-10,169.75234985351562,171.26784949998202,169.71094027349486,171.18504297637017,157121300
2015-03-11,169.3548126220703,170.18295351508777,169.2719934781977,170.00903836752613,110145700
2015-03-12,171.50802612304688,171.5742662907018,169.9345504579917,169.984236901948,93993500
2015-03-13,170.456298828125,172.19538770623154,169.42112236385987,171.2347535510814,162410900
2015-03-16,172.73361206054688,172.8247080553119,170.48106804128992,171.18499278596744,136099200
2015-03-17,172.22024536132812,172.60118322774522,171.40865790665734,171.99664370451623,94510400
2015-03-18,174.29055786132812,174.96135003965182,171.11048686432775,171.74815896316636,228808500
2015-03-19,173.4955596923828,174.29885756678942,173.10633236616806,173.87651015674865,117917300
2015-03-20,175.02700805664062,175.53442966152787,174.26171874469958,174.44472409025488,177715100
2015-03-23,174.6859130859375,175.60925341996233,174.6859130859375,175.0352833889691,71784500
2015-03-24,173.704345703125,175.0186380320636,173.6377971673957,174.56113747478216,77805300
2015-03-25,171.15890502929688,174.14521174748526,171.1173233023442,173.9122982280771,159521700
2015-03-26,170.75132751464844,171.6663413650974,169.79470654797132,170.49345985958703,153067200
2015-03-27,171.14230346679688,171.31698228652505,170.44355010937383,170.63488193095372,118939000
2015-03-30,173.2301788330078,173.52964087435808,172.15711392232274,172.17374153535073,96180400
2015-03-31,171.71620178222656,173.10538151826552,171.65797975995795,172.40662840121527,126768700
2015-04-01,171.1090545654297,171.70797887261608,170.11916542736222,171.68302475088657,137303600
2015-04-02,171.7245635986328,172.17375033720432,170.85944534924582,171.04245064458402,86900900
2015-04-06,172.88084411621094,173.39657946848428,170.70143323496615,170.83451763072776,114368200
2015-04-07,172.4232940673828,173.6544101425023,172.39002614874036,172.9057613911213,81236300
2015-04-08,173.00558471679688,173.44645764013111,172.25693593565734,172.64790063262691,89351900
2015-04-09,173.7708740234375,174.00378754198945,172.34843879891193,172.83921994922966,85548900
2015-04-10,174.71922302246094,174.76081745509825,173.82084928025708,174.02048224837404,72722900
2015-04-13,173.9289093017578,175.20994622951594,173.87900107989284,174.57774157166983,74436600
2015-04-14,174.26170349121094,174.4447088207474,173.10544946886912,173.72932781242415,75099900
2015-04-15,175.04360961914062,175.55103114849615,174.6443310577444,174.72751990891874,99529300
2015-04-16,174.99366760253906,175.50108903393541,174.5112002831102,174.71084587168448,68934900
2015-04-17,172.98062133789062,174.04537241941927,172.19869198583558,173.8041451072998,191113200
2015-04-20,174.56114196777344,174.8938719621486,173.82080694137838,173.90398309355433,92189500
2015-04-21,174.35313415527344,175.40124477019765,174.05367216631907,175.24319362424504,72559800
2015-04-22,175.20999145507812,175.39299677770984,173.770902991398,174.69424341273557,78264600
2015-04-23,175.65081787109375,176.29965013641794,174.6941970850558,174.81065383286185,102585900
2015-04-24,176.0584259033203,176.32462003232672,175.60923917666534,176.06675240287345,61327400
2015-04-27,175.32643127441406,176.7488665984701,175.13509946927405,176.6240960236707,79358100
2015-04-28,175.88375854492188,175.93366677414596,174.1285805578068,175.30147471591496,86863500
2015-04-29,175.16004943847656,175.7589608327745,174.35316595144636,174.99367176429075,125684900
2015-04-30,173.40484619140625,174.97701851659326,172.70609306356445,174.58605388663588,161304900
2015-05-01,175.28480529785156,175.32639971290897,174.08695722406594,174.18677366593695,103399700
2015-05-04,175.78392028808594,176.36620404488573,175.60091500840113,175.7090452606993,70927200
2015-05-05,173.7708740234375,175.90038899608155,173.62946315094771,175.5426922186258,113326200
2015-05-06,173.0554962158203,174.62766884021258,171.99074505712267,174.31989297658694,135060200
2015-05-07,173.74595642089844,174.17020182035276,172.6229830117935,172.95571305311998,88244900
2015-05-08,176.0334930419922,176.23313866284923,175.33475240824686,175.417941256813,155877300
2015-05-11,175.1932830810547,176.25803398478618,175.11842075801857,175.9918526052693,75708100
2015-05-12,174.6692657470703,175.20996783389103,173.53796603824514,174.36148987906336,119727600
2015-05-13,174.70254516601562,175.70074779807248,174.4696316416302,175.07686956643255,94667900
2015-05-14,176.52427673339844,176.61577938439606,175.4428852287453,175.71739318173817,95934000
2015-05-15,176.71556091308594,176.85697176525187,176.23309363890243,176.71556091308594,76510100
2015-05-18,177.2646026611328,177.51414379393768,176.482673264118,176.54922179714424,74549700
2015-05-19,177.20639038085938,177.6555898624759,176.9235685993002,177.38108188878502,72114600
2015-05-20,177.08157348632812,177.83022216944553,176.76547117029347,177.30616047556347,76857500
2015-05-21,177.5973358154297,177.80529522504963,176.7738119839141,176.9401896658781,64764600
2015-05-22,177.17312622070312,177.63062682707135,177.1065776778336,177.21470795376445,57433500
2015-05-26,175.26815795898438,177.1065244109385,174.85223921076997,176.68227916434677,124308600
2015-05-27,176.93190002441406,177.164813596282,175.31813263873076,175.7257377359185,93214000
2015-05-28,176.73223876953125,176.84036903661448,176.04181197319468,176.62409580961238,74974600
2015-05-29,175.6342010498047,176.70726603429128,175.3680196018721,176.66568430602715,124919600
2015-06-01,175.99185180664062,176.63235749126358,175.201596090961,176.29962759516937,93338800
2015-06-02,175.8171844482422,176.5076111354182,174.9104845682582,175.53436272853165,91531000
2015-06-03,176.2830352783203,176.90691352294607,175.79225410549518,176.34958381422064,87820900
2015-06-04,174.79405212402344,176.23312772649365,174.4779497504916,175.5759815578114,151882800
2015-06-05,174.49456787109375,175.16835426135324,173.83740909313252,174.64429253878083,121704700
2015-06-08,173.4215087890625,174.53618088064647,173.34664644724396,174.38644350417422,89063300
2015-06-09,173.39654541015625,173.93724746657017,172.76435340274276,173.39654541015625,105034700
2015-06-10,175.4761199951172,175.85877083412583,174.10359318232116,174.16181520768131,134551300
2015-06-11,176.0417938232422,176.424432007937,175.68409705806988,175.9170105686235,73876400
2015-06-12,174.6942138671875,175.91701618303716,174.41970592966666,175.21827562907586,135382400
2015-06-15,173.94552612304688,174.22834780398836,172.84749461892312,173.55456151410874,124384200
2015-06-16,174.89389038085938,174.97707923463193,173.62117961372883,173.79585843667937,85308200
2015-06-17,175.17669677734375,175.7839474322654,174.153539968628,175.17669677734375,126708600
2015-06-18,176.9984588623047,177.4642860331214,175.21001254016792,175.77565619249154,165867900
2015-06-19,176.21267700195312,176.8312356588325,175.83653181049735,176.7560091714565,130478700
2015-06-22,177.11546325683594,177.70057951585434,176.90649225328806,177.13218450840156,70696000
2015-06-23,177.24078369140625,177.5751448421762,176.8479300654339,177.32437716774217,68476800
2015-06-24,175.9535675048828,177.34949213933672,175.92849200731476,176.97334692123923,92307300
2015-06-25,175.41860961914062,176.58048782172534,175.34338312329731,176.45511032865318,97107400
2015-06-26,175.3851776123047,176.02044482664536,174.83349114074264,175.77803133706038,104174800
2015-06-29,171.7071990966797,175.39344865162383,171.6319726374941,173.90557693751154,202621300
