Price,Close,High,Low,Open,Volume,return,lag1,lag2,lag3,sma5,sma20,sma50,price_to_sma20,price_to_sma50,sma_cross,momentum_5,momentum_20,volatility_10,volatility_20,vol_ratio,rsi,rsi_slope,volume_ma20,volume_ratio,vol_confirmed_move,day_of_week,target
2015-03-16,27.75812149047852,27.75812149047852,27.29604279372521,27.520416950669613,143497200.0,0.011004005668972416,-0.006910512764490062,0.018079297151748275,-0.018231683380100394,27.535527801513673,28.37149248123169,26.53769401550293,0.9783807287840451,1.0459884522846121,0.9705350474504989,-0.017225174540322796,-0.01676132025884125,0.012886281998390871,0.013711637671696399,0.9398061928802838,32.710634308412295,-3.0657226068082792,234379600.0,0.6122427037165351,-0.004230911018999023,0,1
2015-03-17,28.22242927551269,28.284632091074627,27.91363551618768,27.969173986496493,204092400.0,0.01672691666809789,0.011004005668972416,-0.006910512764490062,0.018079297151748275,27.64793701171875,28.36271753311157,26.6182905960083,0.9950537794047731,1.0602645265186543,0.9747985883031708,0.020319532324043044,-0.006179991756160352,0.014304481167492979,0.014193449510898851,1.0078227393917785,45.53345014712749,6.5164124035697455,231953740.0,0.87988406653844,0.009682249256227496,1,1
2015-03-18,28.54010772705078,28.69339443852073,28.07358494267644,28.21354126951889,261083600.0,0.01125624050420515,0.01672691666809789,0.011004005668972416,-0.006910512764490062,27.924740982055663,28.359940814971925,26.71887149810791,1.0063528662931391,1.0681629173250016,0.984654416743828,0.050965362096211164,-0.0019420568567226626,0.014747915135269211,0.01433944329123395,1.0284858927741616,44.971636987086875,18.092100473053485,236029580.0,1.1061477972379563,0.018502442026999338,2,0
2015-03-19,28.324615478515625,28.713384710573685,28.302400432806465,28.602307787128524,183238000.0,-0.00755050578631522,0.01125624050420515,0.01672691666809789,0.011004005668972416,28.06025390625,28.349388217926027,26.815098419189454,0.9991261631743172,1.0562935490941898,0.9898010387577535,0.024507663564658166,-0.007396075158005222,0.013868445149028592,0.014432973410372425,0.9608862120581384,47.39118201369323,14.680547705280937,237719000.0,0.7708176460442792,0.008676508808759684,3,0
2015-03-20,27.96916961669922,28.524552538116783,27.804776244841232,28.491230817057243,274780400.0,-0.012549009256136778,-0.00755050578631522,0.01125624050420515,0.01672691666809789,28.162888717651366,28.309400749206542,26.897622261047363,0.9879816907633815,1.0398379955392432,0.9948246155807702,0.018690783071083183,-0.027799076310005555,0.014503074737421464,0.014538184152026665,0.9975850206437021,41.765680502747756,-3.767769644379733,241668340.0,1.1370144719825526,-0.008585034349828408,4,1
2015-03-23,28.260189056396484,28.402367374748906,28.10690236836996,28.2401960248622,150838800.0,0.010405008217459155,-0.012549009256136778,-0.00755050578631522,0.01125624050420515,28.26330223083496,28.24508695602417,26.967644348144532,1.0005346806117406,1.0479294628617009,1.000644900645523,0.01808723137443513,-0.043534002024549046,0.014851107518324838,0.013251216374818311,1.1207354176592308,44.73291999146896,-0.2387169956179136,235015460.0,0.6418250101503961,-0.008054267993197401,0,0
2015-03-24,28.144678115844727,28.444583846778304,28.11579702412687,28.264641425158008,131369200.0,-0.004087408627070466,0.010405008217459155,-0.012549009256136778,-0.00755050578631522,28.247751998901368,28.184217071533205,27.034825210571288,0.9985971242135935,1.0410527124414128,1.002254273276668,-0.002754942138713301,-0.04146156756343822,0.01308576698813851,0.013224861871155865,0.9894823186531174,45.40032438714187,-1.9908576265513602,227738300.0,0.5768428059751038,0.0060020541363531524,1,0
2015-03-25,27.40933990478516,28.173549649385247,27.40933990478516,28.111346845968825,206620800.0,-0.026127078378117563,-0.004087408627070466,0.010405008217459155,-0.012549009256136778,28.021598434448244,28.124124240875243,27.09951404571533,0.9745846544422804,1.011432893539979,0.9963545244805173,-0.03962030673044237,-0.04200651351317641,0.014582257483567318,0.013277239896759602,1.0982898250656912,42.88394905198366,1.118268549235907,223127000.0,0.9260232961497263,-0.00378503560955062,2,1
2015-03-26,27.600399017333984,27.74257737236355,27.236066770708277,27.271612206915503,190291600.0,0.006970584231963617,-0.026127078378117563,-0.004087408627070466,0.010405008217459155,27.876755142211913,28.055478858947755,27.163731269836425,0.9837792880349062,1.0160753963864475,0.9936296322855726,-0.02556844811294834,-0.047385258950793596,0.01352337031189877,0.013003625433088221,1.039969228695871,44.62658860823332,-0.1063313832356414,214384080.0,0.8876200135756349,-0.02319091766467639,3,0
2015-03-27,27.38047218322754,27.70259470742316,27.30494065972236,27.67371530635941,158184800.0,-0.007968248356421403,0.006970584231963617,-0.026127078378117563,-0.004087408627070466,27.75901565551758,27.997607803344728,27.225408477783205,0.9779575589296075,1.0056955511088428,0.9914781237917532,-0.02104808407040415,-0.04055734248090603,0.013586666312293064,0.012734207338942287,1.0669424449171552,41.32095603517795,-4.079368351963922,209890360.0,0.7536544317709494,0.0052534116984520795,4,1
